NAMESPACE            NAME                                                              READY   STATUS                   RESTARTS         AGE     IP              NODE   NOMINATED NODE   READINESS GATES
kube-system          etcd-cp0                                                          1/1     Running                  2 (16d ago)      17d     10.0.0.1        cp0    <none>           <none>
kube-system          kube-apiserver-cp0                                                1/1     Running                  2 (16d ago)      17d     10.0.0.1        cp0    <none>           <none>
kube-system          kube-controller-manager-cp0                                       1/1     Running                  2 (16d ago)      17d     10.0.0.1        cp0    <none>           <none>
kube-system          kube-multus-ds-655xb                                              1/1     Running                  0                17d     10.0.0.2        wk1    <none>           <none>
kube-system          kube-multus-ds-hbjvf                                              1/1     Running                  0                3d9h    10.0.0.1        cp0    <none>           <none>
kube-system          kube-proxy-442pk                                                  1/1     Running                  0                17d     10.0.0.2        wk1    <none>           <none>
kube-system          kube-proxy-xnwf7                                                  1/1     Running                  1 (16d ago)      17d     10.0.0.1        cp0    <none>           <none>
kube-system          kube-scheduler-cp0                                                1/1     Running                  2 (16d ago)      17d     10.0.0.1        cp0    <none>           <none>
kube-system          whereabouts-8kpd2                                                 1/1     Running                  0                3d9h    10.0.0.1        cp0    <none>           <none>
kube-system          whereabouts-sfzzx                                                 1/1     Running                  0                17d     10.0.0.2        wk1    <none>           <none>
local-path-storage   local-path-provisioner-669dc9c5cf-6cb6r                           0/1     ContainerStatusUnknown   1 (16d ago)      17d     10.254.83.218   cp0    <none>           <none>
local-path-storage   local-path-provisioner-669dc9c5cf-cn2p8                           1/1     Running                  0                4d      10.254.84.23    cp0    <none>           <none>
metallb-system       metallb-controller-6cd48c478-dpqtg                                0/1     ContainerStatusUnknown   2 (16d ago)      17d     10.254.83.196   cp0    <none>           <none>
metallb-system       metallb-controller-6cd48c478-vmjv8                                1/1     Running                  0                4d      10.254.83.200   cp0    <none>           <none>
metallb-system       metallb-speaker-7c62w                                             1/1     Running                  0                3d9h    10.0.0.1        cp0    <none>           <none>
rabbitmq-system      rabbitmq-cluster-operator-7dbddb5bcf-p8dkq                        1/1     Running                  0                4d      10.254.84.61    cp0    <none>           <none>
rabbitmq-system      rabbitmq-cluster-operator-7dbddb5bcf-pl5vs                        0/1     Completed                1 (16d ago)      17d     10.254.83.212   cp0    <none>           <none>
xpu-engine           gpu-operator-d9b7f7cdd-vvspg                                      1/1     Running                  1 (16d ago)      17d     10.254.84.53    cp0    <none>           <none>
xpu-engine           xpu-engine-23-1774927319-node-feature-discovery-gc-74fc5c9z6tn7   1/1     Running                  0                17d     10.254.175.5    wk1    <none>           <none>
xpu-engine           xpu-engine-23-1774927319-node-feature-discovery-master-658zwbks   1/1     Running                  1 (16d ago)      17d     10.254.84.52    cp0    <none>           <none>
xpu-engine           xpu-engine-23-1774927319-node-feature-discovery-worker-rhw94      1/1     Running                  1 (16d ago)      17d     10.254.84.34    cp0    <none>           <none>
xpu-engine           xpu-engine-23-1774927319-node-feature-discovery-worker-rr792      1/1     Running                  6 (16d ago)      17d     10.254.175.7    wk1    <none>           <none>
xpu-engine           xpu-engine-controller-manager-6bc474df55-87nr9                    0/1     ContainerStatusUnknown   3 (16d ago)      17d     10.254.84.28    cp0    <none>           <none>
xpu-engine           xpu-engine-controller-manager-6bc474df55-8xfkp                    0/1     Completed                0                17d     10.254.175.6    wk1    <none>           <none>
xpu-engine           xpu-engine-controller-manager-6bc474df55-jszts                    0/1     Evicted                  0                17d     <none>          wk1    <none>           <none>
xpu-engine           xpu-engine-controller-manager-6bc474df55-v2l5s                    0/1     Evicted                  0                17d     <none>          wk1    <none>           <none>
xpu-engine           xpu-engine-controller-manager-6bc474df55-vlzph                    1/1     Running                  0                4d      10.254.175.15   wk1    <none>           <none>
xpu-engine           xpu-engine-controller-manager-6bc474df55-wl8k6                    0/1     Evicted                  0                17d     <none>          wk1    <none>           <none>
xpu-engine           xpu-quota-admission-547f7bc6f8-l56zm                              2/2     Running                  2 (16d ago)      17d     10.254.84.32    cp0    <none>           <none>
