--- Agent logs (last 100 lines) ---
2026-04-15T12:36:27Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 242}
2026-04-15T12:36:27Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-15T12:36:57Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 242}
2026-04-15T12:36:57Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-15T12:37:27Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 242}
2026-04-15T12:37:27Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-15T12:37:57Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 242}
2026-04-15T12:37:57Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-15T12:38:27Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 242}
2026-04-15T12:38:27Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-15T12:38:57Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 242}
2026-04-15T12:38:57Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-15T12:39:27Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 242}
2026-04-15T12:39:27Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-15T12:39:57Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 242}
2026-04-15T12:39:57Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
2026-04-15T12:40:27Z	DEBUG	agent	Reconcile cycle	{"policies": 1, "pods": 242}
2026-04-15T12:40:27Z	INFO	agent	Matched pod	{"pod": "memhog-test", "pids": 2, "policy": "etmem-auto"}
